displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
University of North Carolina at Chapel Hill,29,https://www.usnews.com/dims4/USNEWS/d2ce5fd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc8%2Fc1f072147e28aabbb84a9f0d87d2e3%2Foldwell.JPG,"Chapel Hill, NC",UNC University of North Carolina Chapel Hill
Wake Forest University,29,https://www.usnews.com/dims4/USNEWS/85cc6e8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F96%2F20796e235018f451de8f0451e43f33%2Fcollege-photo_11989.jpg,"Winston-Salem, NC",
University of Washington,32,https://www.usnews.com/dims4/USNEWS/e076565/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F06%2F034e31d063521a543bb42f6f2c00b6%2F_20180227_Fall-Fling_216.jpg,"Seattle, WA",
Tufts University,32,https://www.usnews.com/dims4/USNEWS/a64b31d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2f%2Fcd373dee3a899eefd25a8e9970bed8%2F1_131021_7247_campusstock182.jpg,"Medford, MA",
"University of California, Santa Barbara",32,https://www.usnews.com/dims4/USNEWS/6c2ad30/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F13%2F975f931d5bf105fd4c372243ea494b%2FUC-Santa-Barbara-_49A3469-web.jpg,"Santa Barbara, CA",UCSB UC Santa Barbara University of California Santa Barbara
"University of California, Irvine",34,https://www.usnews.com/dims4/USNEWS/5c155b2/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2Ff4ad1159ac936f2c8e95c998eefd32%2FUCI_Greg_Student_Center-9.jpg,"Irvine, CA",UC Irvine UCI University of California Irvine
"University of California, San Diego",34,https://www.usnews.com/dims4/USNEWS/358fb66/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8e%2F30bc9db5b245b89c5d9063acd2ceb4%2Fcollege-photo_19990.jpg,"La Jolla, CA",UCSD University of California San Diego
Boston College,36,https://www.usnews.com/dims4/USNEWS/ff8b7c7/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6e%2Fd8a881f19b211928f27b07fa3171de%2Fcollege-photo_16949.jpg,"Chestnut Hill, MA",BC
University of Rochester,36,https://www.usnews.com/dims4/USNEWS/42f70cb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5a%2F2887d63495624806c3c4382a318ca6%2Fcollege-photo_27480.jpg,"Rochester, NY",
"University of California, Davis",38,https://www.usnews.com/dims4/USNEWS/a2125ae/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0c%2Fec8a2b1ae32ba1d7937497c0fea02e%2Fcollege-photo_35047.jpg,"Davis, CA",UC Davis University of California Davis
University of Texas at Austin,38,https://www.usnews.com/dims4/USNEWS/8b436d8/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fbe%2F5e%2F6008045e418a9a9be022f2eab7ee%2Fut-austin-hero-1920x640.jpg,"Austin, TX",UT Austin University of Texas Austin
University of Wisconsin--Madison,38,https://www.usnews.com/dims4/USNEWS/c084efb/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7a%2Ff94ebe41ae2cca4b4f0118e82c486f%2Fcollege-photo_30990.jpg,"Madison, WI",University of Wisconsin Madison
Boston University,41,https://www.usnews.com/dims4/USNEWS/9a418b0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fb1%2Fc7%2Fe51288a54f1ea809f330295d132d%2Fday-1-ready-1.jpg,"Boston, MA",BU
William & Mary,41,https://www.usnews.com/dims4/USNEWS/6141dba/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F28%2F9522c9217db89722506ec55bb1894a%2FWren-slide.jpg,"Williamsburg, VA",William & Mary
Brandeis University,44,https://www.usnews.com/dims4/USNEWS/e05c4ca/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2a%2Fa463251ce974ebae64dd9b13f6484b%2F_MG_9777.jpg,"Waltham, MA",
Case Western Reserve University,44,https://www.usnews.com/dims4/USNEWS/f829920/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F89297a497b68db55c95d4b31ef24ba%2Fcollege-photo_8808.jpg,"Cleveland, OH",
Northeastern University,44,https://www.usnews.com/dims4/USNEWS/5edce9b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F20%2F1cbbad31e6157f63445ad855fcdbaf%2Fcollege-photo_31421.jpg,"Boston, MA",
Tulane University,44,https://www.usnews.com/dims4/USNEWS/f49c505/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa3%2F27198a7ba9d4c2909e318d3da75173%2Fcollege-photo_34989.jpg,"New Orleans, LA",
The Ohio State University,49,https://www.usnews.com/dims4/USNEWS/e7133d6/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4d%2F068670b264e2badab91987f4639cbc%2Fcollege-photo_21645.jpg,"Columbus, OH",OSU  Ohio State University Columbus
University of Georgia,49,https://www.usnews.com/dims4/USNEWS/1b3a21f/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa9%2F59d77fa64379a3d601d963e68dadf3%2Fcollege-photo_28433.jpg,"Athens, GA",UGA
Lehigh University,51,https://www.usnews.com/dims4/USNEWS/9f9e68c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7b%2Fa7c6a18fa04802daacbf11bcef0d79%2Fcollege-photo_35953.jpg,"Bethlehem, PA",
Purdue University--West Lafayette,51,https://www.usnews.com/dims4/USNEWS/f8bed07/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1b%2F10e3ffe142fb8c23d5128df1de75a2%2Fcollege-photo_3097.jpg,"West Lafayette, IN",Purdue University West Lafayette Purdue University West Lafayette
Rensselaer Polytechnic Institute,51,https://www.usnews.com/dims4/USNEWS/04067b4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F62%2Fdf%2F97c02641404cbda594288dcae2f3%2Forigstudentconnect-college.jpg,"Troy, NY",RPI
Villanova University,51,https://www.usnews.com/dims4/USNEWS/08d0c83/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fac%2Fc5781ac26261fc6a4d9fa9a8477ddd%2Fcollege-photo_35418.jpg,"Villanova, PA",
Florida State University,55,https://www.usnews.com/dims4/USNEWS/a01906b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fbb%2F7003562f043ea2e299d5a44d9c0bbc%2F11_0241_%28011%29.jpg,"Tallahassee, FL",FSU
Pepperdine University,55,https://www.usnews.com/dims4/USNEWS/215d462/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ffe%2Fa865facc742e3b4b4c31863dd42e82%2Fcollege-photo_6515.jpg,"Malibu, CA",
Rutgers University--New Brunswick,55,https://www.usnews.com/dims4/USNEWS/bd92319/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F77%2Fd63d828afc35176403318efd541d95%2Fcollege-photo_36406.jpg,"Piscataway, NJ","Rutgers University Rutgers, the State University of New Jersey New Brunswick"
Santa Clara University,55,https://www.usnews.com/dims4/USNEWS/4b73f6b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F65%2F239a8254f5a651654163bad9fee55a%2FJL160917_4111_CampusBeauty_0259.jpg,"Santa Clara, CA",
"University of Maryland, College Park",55,https://www.usnews.com/dims4/USNEWS/919418b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fdb%2F35601f3f60a9564fed7dbb5674f765%2Fcollege-photo_23577.jpg,"College Park, MD",UMD UMCP University of Maryland College Park
University of Miami,55,https://www.usnews.com/dims4/USNEWS/b69c02d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8d%2F3ab1f0d8509a33f8dec799faccdded%2Fcollege-photo_11206.jpg,"Coral Gables, FL",
George Washington University,62,https://www.usnews.com/dims4/USNEWS/e405a5a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F93%2F742265d75c507c9b4d74c460544823%2Fcollege-photo_25925.jpg,"Washington, DC",GW GWU
Syracuse University,62,https://www.usnews.com/dims4/USNEWS/70b0898/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F21%2F5a%2Fcf871a134def9eb76eeaf37ba49e%2Fjmh-drone-halloflanguages-summer-00001.jpg,"Syracuse, NY",
"University of Minnesota, Twin Cities",62,https://www.usnews.com/dims4/USNEWS/dc78d1c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1a%2F57ee27ac94e22161e9c049b7e44c48%2Fcollege-photo_25995.jpg,"Minneapolis, MN",University of Minnesota Twin Cities
