displayName,rankingSortRank,primaryPhotoThumb,location,aliasNames
University of Notre Dame,33,https://www.usnews.com/dims4/USNEWS/0426bc4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F53%2Ffff707d9cd1e8e4d55454e57f6c8b7%2Fcollege-photo_154.jpg,"Notre Dame, IN",Notre Dame
Vanderbilt University,33,https://www.usnews.com/dims4/USNEWS/a2267b4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8c%2F430f3ff9ef5d24a6321b73d987d3e2%2Fcollege-photo_313.jpg,"Nashville, TN",
Yale University,33,https://www.usnews.com/dims4/USNEWS/2f95732/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8f%2Ff7526019804e07ae828f06b89df8c0%2Fcollege-photo_8737.jpg,"New Haven, CT",
"University of California, Irvine",42,https://www.usnews.com/dims4/USNEWS/5c155b2/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7c%2Ff4ad1159ac936f2c8e95c998eefd32%2FUCI_Greg_Student_Center-9.jpg,"Irvine, CA",UC Irvine UCI University of California Irvine
University of Virginia,42,https://www.usnews.com/dims4/USNEWS/392fdee/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcd%2Fc4797df7ab3ec18213c260c5a64502%2Fcollege-photo_2352.jpg,"Charlottesville, VA",UVA
Washington University in St. Louis,42,https://www.usnews.com/dims4/USNEWS/993843d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F49%2Fbd%2F83c356c740cc9c54b5bb41ff0c66%2F210903-submitted.jpg,"St. Louis, MO",WashU Washington University in St Louis Washington University in Saint Louis
Boston University,45,https://www.usnews.com/dims4/USNEWS/9a418b0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fb1%2Fc7%2Fe51288a54f1ea809f330295d132d%2Fday-1-ready-1.jpg,"Boston, MA",BU
Case Western Reserve University,45,https://www.usnews.com/dims4/USNEWS/f829920/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F73%2F89297a497b68db55c95d4b31ef24ba%2Fcollege-photo_8808.jpg,"Cleveland, OH",
Colorado School of Mines,45,https://www.usnews.com/dims4/USNEWS/678b936/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2e%2F84cd5d4998a1fb0f1703eb14852539%2FHero_Shot_-_Guggenheim_a.jpg,"Golden, CO",
Lehigh University,45,https://www.usnews.com/dims4/USNEWS/9f9e68c/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7b%2Fa7c6a18fa04802daacbf11bcef0d79%2Fcollege-photo_35953.jpg,"Bethlehem, PA",
Michigan State University,45,https://www.usnews.com/dims4/USNEWS/5737f42/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F64%2F8948b60c1375c3871898da724f2083%2Fcollege-photo_15870.jpg,"East Lansing, MI",MSU
Dartmouth College,50,https://www.usnews.com/dims4/USNEWS/27c13a4/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2e%2F78bc83f90d949c3e6286102d6dde3e%2Fcollege-photo_33512.jpg,"Hanover, NH",
Iowa State University of Science and Technology,50,https://www.usnews.com/dims4/USNEWS/75a9f21/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fad%2Fe457136a85b0ecb6e658b7f1ccec60%2Fcollege-photo_252.jpg,"Ames, IA",
Northeastern University,50,https://www.usnews.com/dims4/USNEWS/5edce9b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F20%2F1cbbad31e6157f63445ad855fcdbaf%2Fcollege-photo_31421.jpg,"Boston, MA",
Rutgers University--New Brunswick,50,https://www.usnews.com/dims4/USNEWS/bd92319/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F77%2Fd63d828afc35176403318efd541d95%2Fcollege-photo_36406.jpg,"Piscataway, NJ","Rutgers University Rutgers, the State University of New Jersey New Brunswick"
Drexel University,54,https://www.usnews.com/dims4/USNEWS/7fc6b2b/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcd%2Ff35e75d608aaf118054bf4c91d82af%2Fcollege-photo_12760.jpg,"Philadelphia, PA",
Rochester Institute of Technology,54,https://www.usnews.com/dims4/USNEWS/ec6048a/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F52%2Fc521468a279b0ea404f015c54b5b24%2Fapplied_arts_and_sciences_sm.jpg,"Rochester, NY",RIT
Tufts University,54,https://www.usnews.com/dims4/USNEWS/a64b31d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2f%2Fcd373dee3a899eefd25a8e9970bed8%2F1_131021_7247_campusstock182.jpg,"Medford, MA",
University of Arizona,54,https://www.usnews.com/dims4/USNEWS/86e8831/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fac%2Fa0%2Ff06edf2d4335874cf75a57b0132a%2F210825-submitted.jpg,"Tucson, AZ",
University of Delaware,54,https://www.usnews.com/dims4/USNEWS/7de2039/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F10%2F08e0c8826acc486c0de84f78b8b49d%2FCampus-043021-004.jpg,"Newark, DE",
University of Massachusetts--Amherst,54,https://www.usnews.com/dims4/USNEWS/5362b80/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0b%2Fa6d5f07e506eb7bd3df0cd435e78fc%2F1_2014_08_30_Football_Gillette_js_MG_2843-48.jpg,"Amherst, MA",UMass Amherst University of Massachusetts Amherst
University of Pittsburgh,54,https://www.usnews.com/dims4/USNEWS/46e075d/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcb%2F27750e68ae1da0cb0935e0a9b92eba%2Fcollege-photo_31411.jpg,"Pittsburgh, PA",Pitt
Auburn University,61,https://www.usnews.com/dims4/USNEWS/5e047a5/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe1%2Fc3e58114b9e270ac11d07a72b8bb7f%2Fcollege-photo_28846.jpg,"Auburn, AL",AU
Clemson University,61,https://www.usnews.com/dims4/USNEWS/1fe1bb0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc3%2F836acf068a9b227834e0adda226ac2%2FPicture1.jpg,"Clemson, SC",
New York University,61,https://www.usnews.com/dims4/USNEWS/97b4e62/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9d%2Fd819230374ef6531890bb7eee1dac0%2FNYU_WSP_Header.jpg,"New York, NY",NYU
Stony Brook University--SUNY,61,https://www.usnews.com/dims4/USNEWS/31cadc0/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff3%2F1e%2F17ea0f164408baef4ef7db8fda0c%2F210331-submitted.JPG,"Stony Brook, NY",Stony Brook SUNY Stony Brook Stony Brook University SUNY
University of North Carolina at Chapel Hill,61,https://www.usnews.com/dims4/USNEWS/d2ce5fd/17177859217/thumbnail/170x170/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc8%2Fc1f072147e28aabbb84a9f0d87d2e3%2Foldwell.JPG,"Chapel Hill, NC",UNC University of North Carolina Chapel Hill
